%time,field.left,field.right
1418801855341573681,-0.0829774215817,0.0
1418801855434083712,-0.083249501884,0.0
1418801855539349184,0.0,0.0
1418801855634067530,0.0,0.0
1418801855734066543,0.0,0.0
1418801855834710879,0.0,0.0
1418801855948388291,0.0,0.0
1418801856040862988,0.0,0.0
1418801856145910691,0.0,0.0
1418801856240062756,0.0,0.0
1418801856334993254,0.0,0.0
1418801856434154893,0.0,0.0
1418801856534500473,0.0,0.0
1418801856634902786,0.332422673702,0.166211336851
1418801856748397730,0.914312303066,0.74807369709
1418801856833830145,1.16352462769,1.08041572571
1418801856939489033,1.3297482729,1.3297482729
1418801857060036313,1.16354167461,1.16354167461
1418801857150001660,1.32990932465,1.24679005146
1418801857255293722,1.41291296482,1.08046293259
1418801857341850906,1.41290128231,1.16356575489
1418801857434129597,1.32927846909,1.16311872005
1418801857536247459,1.24607229233,1.16300082207
1418801857638291689,1.33086037636,1.24768161774
1418801857735831345,1.41286587715,1.24664640427
1418801857846398113,1.24648845196,0.997190773487
1418801857937336005,0.664972424507,0.914337098598
1418801858034256099,0.748026847839,1.24671137333
1418801858133897454,1.41285324097,1.24663519859
1418801858239883963,1.4126367569,1.16334795952
1418801858342101637,1.32991659641,1.24679684639
1418801858441962541,1.24662327766,1.08040678501
1418801858533800287,1.08052945137,1.16364705563
1418801858634185989,1.07997179031,1.16304659843
1418801858734166874,1.33038663864,1.08093905449
1418801858834678112,1.08040130138,1.16350913048
1418801858939739997,0.581746935844,1.2466006279
1418801859042381480,0.664804041386,1.24650752544
1418801859134255285,0.914405226707,1.24691617489
1418801859251146305,1.32978284359,0.997337162495
1418801859334803252,1.2466404438,1.08042180538
1418801859436983087,1.24661052227,1.08039569855
1418801859544295742,0.997361421585,1.08047485352
1418801859636545163,0.996416568756,1.07945132256
1418801859734075466,1.08141052723,1.24778139591
1418801859834090764,1.24592077732,1.24592077732
1418801859933770786,1.33092522621,1.16455960274
1418801860033836085,1.41251516342,1.08015859127
1418801860133885600,1.16341948509,1.16341948509
1418801860233890867,0.332489192486,1.24683439732
1418801860334094200,0.748028934002,1.163600564
1418801860434133408,1.32962393761,1.32962393761
1418801860533809952,1.24699020386,0.997592151165
1418801860634097698,1.32936644554,0.997024834156
1418801860734247594,1.3289835453,1.07979905605
1418801860833856273,1.41383183002,1.08116555214
1418801860934334241,1.32992768288,1.16368675232
1418801861034374065,1.24642670155,0.997141361237
1418801861134193862,1.41301095486,1.24677443504
1418801861234360440,1.32971596718,1.16350150108
1418801861334583606,1.3297983408,1.08046114445
1418801861434179013,0.997387230396,0.831156015396
1418801861533987384,0.747921705246,0.664819300175
1418801861633988324,1.16352176666,1.16352176666
1418801861734248414,1.24679267406,1.24679267406
1418801861836747060,1.24566733837,1.32871174812
1418801861933936732,1.41398382187,1.24763274193
1418801862034080832,1.24667084217,1.08044803143
1418801862134218459,1.3298689127,1.08051848412
1418801862233836514,1.24656558037,1.16346120834
1418801862334080583,1.32976818085,1.16354715824
1418801862434129131,1.32976055145,1.16354048252
1418801862534144905,1.41305315495,1.16369080544
1418801862634124030,1.32969534397,1.16348350048
1418801862734215639,1.32958948612,1.16339087486
1418801862833850144,1.24685788155,1.08061015606
1418801862933974987,1.24577748775,0.996621966362
1418801863034120439,1.33074390888,1.24757242203
1418801863134519467,1.32973790169,1.16352069378
1418801863234765087,1.32972383499,1.24661612511
1418801863334120167,1.16354906559,1.16354906559
1418801863434107909,1.24674189091,1.16362583637
1418801863534275954,1.3298561573,1.16362416744
1418801863634863673,1.32965874672,1.24655508995
1418801863734209231,1.41284263134,1.16351747513
1418801863834138631,1.32974660397,1.32974660397
1418801863934117216,1.24679112434,1.08055233955
1418801864034211530,1.16263818741,0.996546983719
1418801864134214475,1.33011674881,1.08071994781
1418801864234010065,1.33043205738,1.16412806511
1418801864334260735,1.49602198601,1.24668502808
1418801864434037392,1.41290724277,1.24668288231
1418801864534425109,1.32979822159,1.24668586254
1418801864634252220,1.16353523731,1.08042562008
1418801864734174669,1.24659669399,0.997277379036
1418801864833909386,1.24672806263,0.99738240242
1418801864934015309,1.32973957062,1.08041346073
1418801865034182223,1.32964968681,1.24654662609
1418801865134023861,1.24550032616,1.16246700287
1418801865234289300,1.24797725677,1.16477870941
1418801865334225323,1.24670934677,1.16359531879
1418801865434118737,1.3296983242,1.08037996292
1418801865534218322,1.32969546318,1.08037757874
1418801865633889192,1.32970225811,1.08038306236
1418801865734217057,1.32992041111,1.08056032658
1418801865834074063,1.0804694891,0.831130325794
1418801865934179132,0.0831103697419,0.249331101775
1418801866034909636,0.0,0.0
1418801866134223149,0.0,0.0
1418801866234344009,0.0,0.0
1418801866333878871,0.665397047997,0.499047785997
1418801866434199401,1.16348588467,0.997273564339
1418801866533912804,1.4132027626,1.08068454266
1418801866634192711,1.41295921803,1.16361343861
1418801866734227701,1.32971167564,1.08039081097
1418801866835358669,1.1635941267,1.08048033714
1418801866934230469,1.24658632278,1.08037471771
1418801867034217396,1.246753335,1.080519557
1418801867134311093,1.41291713715,1.24669158459
1418801867234232095,1.41291248798,1.16357505322
1418801867334295249,1.32825887203,1.16222655773
1418801867434208259,1.33115315437,1.16475903988
1418801867534394363,1.24677467346,1.08053803444
1418801867634354807,1.41268980503,1.3295904398
1418801867733713001,1.57796621323,1.24576282501
1418801867833807303,1.49572229385,1.41262662411
1418801867934300712,1.33019435406,1.08078289032
1418801868034248746,1.33048260212,0.997861981392
1418801868133759192,1.32890844345,1.0797380209
1418801868233793286,1.32970893383,1.1634953022
1418801868333662905,1.41294789314,1.16360414028
1418801868434420199,1.24656796455,1.16346335411
1418801868534283833,1.16455483437,1.08137238026
1418801868634180587,1.07953453064,0.996493458748
1418801868734397136,1.08028805256,0.914089858532
1418801868833674436,1.16369700432,1.08057582378
1418801868934291074,1.08102822304,1.08102822304
1418801869033660452,1.24618089199,1.24618089199
1418801869133684530,1.32960236073,1.32960236073
1418801869233722791,1.32915985584,1.24608743191
1418801869334322176,1.33134400845,0.998507976532
1418801869434238618,1.16367983818,1.08055984974
1418801869534378298,0.580118238926,1.325984478
1418801869633665652,1.4152828455,1.4152828455
1418801869734303417,1.66283333302,1.24712491035
1418801869834305673,1.33086037636,1.16450285912
1418801869933659834,1.16245555878,1.16245555878
1418801870034525166,1.32977807522,0.997333586216
1418801870133672481,1.24678039551,1.08054304123
1418801870233944161,1.24767291546,0.998138308525
1418801870335238705,1.3288680315,1.16275954247
1418801870434191133,1.2472089529,1.08091449738
1418801870534184977,1.16287839413,1.07981574535
1418801870634722525,1.2460654974,0.996852397919
1418801870734268112,1.24822342396,0.998578727245
1418801870835164379,1.24630570412,0.997044503689
1418801870934013920,1.07999908924,0.913845360279
1418801871033970304,0.83109587431,0.747986316681
1418801871134040389,1.33051049709,1.16419661045
1418801871234067667,1.32990539074,1.24678623676
1418801871334333999,1.32866549492,1.24562394619
1418801871434160130,1.32980120182,1.16357600689
1418801871533804631,1.41333711147,1.08078718185
1418801871634308139,1.33055496216,1.08107590675
1418801871734261360,1.16275477409,1.16275477409
1418801871833771405,1.16354489326,1.08043456078
1418801871934126222,1.24668800831,1.08046293259
1418801872034228905,1.24754095078,1.08120214939
1418801872134207125,1.24675238132,1.08051872253
1418801872234187131,1.32840752602,1.07933115959
1418801872333663458,1.24690449238,0.997523605824
1418801872433738672,1.24644482136,1.16334855556
1418801872534297045,1.33090698719,1.24772524834
1418801872634013004,1.3296700716,1.16346132755
1418801872733613200,1.49630630016,1.33005011082
1418801872833947439,1.40930974483,1.24350857735
1418801872933973216,1.33323550224,1.16658103466
1418801873034279794,1.32972800732,1.24662005901
1418801873133847293,1.32805669308,1.32805669308
1418801873239752347,1.41349160671,1.3303450346
1418801873333900346,1.41296565533,1.41296565533
1418801873434302512,1.24718260765,1.08089148998
1418801873534250570,1.16398096085,1.16398096085
1418801873634495204,1.24548518658,1.07942044735
1418801873734450710,1.24691367149,1.08065843582
1418801873834189496,1.33111810684,1.24792325497
1418801873934117096,1.49462628365,1.24552190304
1418801874034263101,1.24748909473,1.33065509796
1418801874133871826,1.24555850029,1.07948410511
1418801874233763807,1.24682915211,1.08058524132
1418801874334020741,1.33077263832,1.16442608833
1418801874434042915,1.41291761398,1.24669206142
1418801874534293368,1.57910394669,1.41288244724
1418801874635962097,1.41170203686,1.24561941624
1418801874734365045,1.16451776028,1.08133792877
1418801874834274221,1.32974886894,0.997311651707
1418801874933987657,1.24665701389,1.16354656219
1418801875034054285,1.41165280342,1.24557602406
1418801875134002438,1.16451084614,0.91497284174
1418801875235168241,0.0831198766828,0.166239753366
1418801875334191311,0.0,0.0
1418801875434384461,0.0,0.0
1418801875533933975,0.0,0.0
1418801875635581328,0.332367479801,0.415459364653
1418801875734231101,1.3302308321,1.16395199299
1418801875834161711,0.664923429489,0.581808030605
1418801875933956690,0.0830948799849,0.0
1418801876034297253,0.0,0.0
1418801876134374345,0.747427940369,0.581332862377
1418801876233973053,1.16447651386,1.08129966259
1418801876334282693,1.49601483345,1.16356706619
1418801876434979314,1.41291892529,1.16358029842
1418801876534280738,1.41296231747,1.16361606121
1418801876634243337,1.41343784332,1.16400766373
1418801876734254900,1.16304755211,0.830748260021
1418801876834221668,1.08037149906,0.498632967472
1418801876934117897,1.08017981052,0.166181504726
1418801877034271663,1.33016645908,0.665083229542
1418801877133998438,1.49597036839,1.1635324955
1418801877234427890,1.41156673431,1.07943344116
1418801877334241840,1.24775218964,0.915018260479
1418801877434371282,1.32983076572,1.16360187531
1418801877534388682,1.32981872559,1.16359138489
1418801877634109352,1.49574780464,1.16335940361
1418801877733992727,1.4130718708,1.16370630264
1418801877834353631,1.32986080647,0.997395634651
1418801877934264119,1.24635648727,0.997085154057
1418801878034453010,1.33002746105,1.08064734936
1418801878134429423,1.49598908424,1.16354703903
1418801878234422720,1.49605214596,1.24671006203
1418801878334369991,1.41158556938,1.24551677704
1418801878434381351,1.24758136272,0.998065114021
1418801878534215347,1.33000278473,1.08062720299
1418801878634239387,1.2469189167,1.08066308498
1418801878734335877,1.41263175011,1.08024787903
1418801878834897384,1.32964897156,1.16344285011
1418801878933997309,1.24669981003,1.08047318459
1418801879034037574,1.24699401855,1.1638610363
1418801879134255448,1.24643373489,1.08024251461
1418801879234073708,1.32961416245,1.08031141758
1418801879333997781,1.4129087925,1.16357195377
1418801879434130096,1.32860171795,1.1625264883
1418801879534286802,1.2477568388,1.16457295418
1418801879634346354,1.24662852287,1.24662852287
1418801879733998547,1.41293036938,1.2467032671
1418801879834003701,1.32991623878,1.16367673874
1418801879934155401,1.41291534901,1.16357731819
1418801880034564231,1.41277742386,1.16346371174
1418801880134580700,1.32954084873,1.08025193214
1418801880234344824,1.16382217407,1.08069205284
1418801880334268734,1.32969021797,1.16347897053
1418801880434153813,1.32976353168,1.24665331841
1418801880534616593,1.4117629528,1.16262829304
1418801880634083364,1.24739074707,0.99791264534
1418801880735598705,0.831304013729,0.831304013729
1418801880834438263,0.664939641953,0.581822216511
1418801880934053921,1.24662613869,1.08040928841
1418801881036258645,1.41271662712,1.246514678
1418801881134437336,1.41298890114,1.41298890114
1418801881234392822,1.4128125906,1.16349279881
1418801881334030866,1.41294550896,1.16360223293
1418801881434125418,1.24659395218,1.16348767281
1418801881534347500,1.32987654209,1.16364204884
1418801881634115078,1.41177475452,1.32872915268
1418801881734156159,1.41386008263,1.24752366543
1418801881834281899,1.41287922859,1.16354763508
1418801881934222168,1.32980024815,1.16357529163
1418801882034382407,1.16356742382,0.997343480587
1418801882134011466,1.16362786293,1.08051156998
1418801882234390198,1.24654388428,1.08033800125
1418801882334295140,1.32989752293,1.246778965
1418801882434363361,1.41288483143,1.16355228424
1418801882534265989,1.32983386517,1.32983386517
1418801882634364642,1.24658846855,0.99727076292
1418801882734104443,1.24570155144,1.07960796356
1418801882834286312,1.24759531021,1.16442227364
1418801882934353105,1.41299939156,1.16364657879
1418801883034446850,1.57905745506,1.32973265648
1418801883135846362,1.32950329781,1.32950329781
1418801883234376630,1.24676156044,1.1636441946
1418801883334303879,1.2468329668,0.997466385365
1418801883434040810,1.32978653908,1.24667477608
1418801883534061547,1.32977962494,1.16355717182
1418801883634311312,1.24648940563,1.16339015961
1418801883734282356,1.24676060677,1.16364324093
1418801883834885290,1.24581921101,1.16276466846
1418801883934361950,1.1644538641,0.998103320599
1418801884034525306,1.16330087185,0.914022147655
1418801884134160273,1.41210973263,1.07984864712
1418801884234114388,1.4139122963,1.24756968021
1418801884334465444,1.24668061733,1.1635684967
1418801884434386760,1.24667823315,1.08045446873
1418801884534527641,1.32946395874,1.24637246132
1418801884634627717,1.4090526104,1.16039633751
1418801884734486287,1.41707277298,1.25035834312
1418801884834594120,1.49596428871,1.24663686752
1418801884934495041,1.16270256042,0.913551986217
1418801885034129284,0.166339635849,0.166339635849
1418801885134709426,0.0,0.0
1418801885234324798,0.0,0.0
1418801885334358374,0.0,0.0
1418801885433696367,0.0,0.0
1418801885533936813,0.0,0.0
1418801885633839511,0.0,0.0
1418801885734294442,0.0,0.0
1418801885833890130,0.0,0.0
1418801885933839669,0.0,0.0
1418801886034086461,0.0,0.0
1418801886133975405,0.0,0.0
1418801886233815158,0.0,0.0
1418801886333903885,0.0,0.0
1418801886433903713,0.0,0.0
1418801886533910004,0.0,0.0
1418801886633854628,0.0,0.0
1418801886733907524,0.0,0.0
1418801886833800602,0.0,0.0
1418801886934450934,0.0,0.0
1418801887034272507,0.0,0.0
1418801887134674642,0.333143979311,1.499147892
1418801887234145258,0.332512944937,1.99507772923
1418801887333879114,0.332493722439,1.99496233463
1418801887436357080,0.332628071308,2.24523949623
1418801887533865172,0.332201808691,2.15931177139
1418801887634510841,-0.997426867485,3.32475614548
1418801887734019580,-1.08033299446,3.73961424828
1418801887833831091,-1.41297185421,3.90645170212
1418801887934448068,-1.58019387722,4.2415728569
1418801888034212302,-1.49612867832,4.32214975357
1418801888134679754,-1.65914809704,4.31378507614
1418801888233914000,-2.08070135117,4.57754278183
1418801888335098152,-2.41193366051,4.90703725815
1418801888434329668,-2.32643127441,4.9021229744
1418801888533848180,-2.40847659111,4.56780052185
1418801888634854094,-2.32538771629,4.48467636108
1418801888733823131,-1.99594330788,4.07505083084
1418801888834377688,-1.4972268343,3.07763290405
1418801888934440588,-1.49539840221,2.90771913528
1418801889033839344,-1.33006799221,2.57700681686
1418801889134266792,-1.41207516193,2.5749604702
1418801889234165289,-1.32943689823,2.4926943779
1418801889333869842,-1.24703752995,2.41093921661
1418801889434358895,-1.24754059315,2.411911726
1418801889534479672,-1.32968842983,2.57627129555
1418801889634637490,-1.24539971352,2.40777277946
1418801889733847917,-1.24719321728,2.49438643456
